id,name,latitude,longitude,neighbourhood_cleansed,city,property_type,room_type,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
25577370,West Asheville Artist Sanctuary,35.56687,-82.59623,28806,Asheville,House,Entire home/apt,2,2.0,188.0,2016-07-28,t,4,2,47,99.0,f,moderate
25678742,Convenience and comfort in West AVL,35.60923,-82.59284,28806,Asheville,House,Private room,1,1.0,35.0,2018-06-03,t,1,1,107,98.0,f,flexible
25679471,Entire Guest Suite w/private entrance,35.59859,-82.50264,28805,Asheville,Guest suite,Private room,1,1.0,99.0,2018-05-05,t,1,1,54,99.0,t,flexible
25718935,Lockhart Lodge @ Bent Creek,35.51008,-82.60934,28806,Asheville,House,Entire home/apt,3,2.0,200.0,2017-05-09,t,1,1,54,100.0,t,flexible
25722075,Chateau on Patton Mountain! Minutes to downtown!,35.62575,-82.53475,28804,Asheville,House,Entire home/apt,4,3.5,350.0,2016-05-13,t,1,3,54,99.0,f,strict_14_with_grace_period
25762439,Spacious Upstairs in Home Near Downtown Asheville,35.58818,-82.53631999999999,28805,Asheville,House,Private room,2,1.0,100.0,2018-04-30,t,1,2,71,99.0,t,flexible
25882810,West Asheville Rustic Studio,35.58314,-82.58891,28806,Asheville,Apartment,Entire home/apt,1,1.0,100.0,2016-10-16,t,1,2,142,98.0,t,moderate
25883256,Southern Comfort,35.571979999999996,-82.64914,28806,Candler,House,Entire home/apt,2,1.5,75.0,2015-12-20,t,2,2,68,99.0,t,flexible
25892881,Bella Way,35.49519,-82.51056,28803,Asheville,Apartment,Entire home/apt,1,1.0,108.0,2018-06-09,f,1,2,11,96.0,t,moderate
25919767,Beautiful upstairs apt. 2 blocks from downtown,35.59964,-82.5586,28801,Asheville,House,Entire home/apt,1,1.0,50.0,2015-06-02,t,1,30,3,100.0,t,flexible
25936206,Quiet home in West Asheville!,35.575379999999996,-82.62095,28806,Asheville,House,Entire home/apt,2,1.0,80.0,2013-11-26,t,2,2,12,100.0,f,strict_14_with_grace_period
25977047,West Asheville Gem! *Laundry service included!,35.56765,-82.59416,28806,Asheville,Apartment,Entire home/apt,1,1.0,85.0,2015-03-15,t,2,28,4,100.0,f,strict_14_with_grace_period
26028858,Modern Townhome Minutes from Downtown/South Slope,35.5892,-82.54498000000001,28801,Asheville,Townhouse,Private room,2,1.5,80.0,2018-03-14,t,2,2,67,99.0,t,flexible
26038824,**Asheville's Good Vibes Suite** (pet friendly),35.60504,-82.61244,28806,Asheville,Apartment,Entire home/apt,1,1.0,75.0,2015-07-11,t,1,1,131,99.0,t,moderate
26084631,Botany Abode: private apt near Blue Ridge Parkway,35.60198,-82.47476,28805,Asheville,Apartment,Entire home/apt,1,1.0,75.0,2017-04-20,t,3,1,58,97.0,f,moderate
26093158,Visit the Biltmore House from Beautiful Wood-Rich Home,35.573679999999996,-82.53907,28803,Asheville,House,Entire home/apt,2,2.0,248.0,2018-06-16,t,1,3,65,98.0,t,strict_14_with_grace_period
26098132,Pet friendly basement studio apt in West Asheville,35.57884,-82.62199,28806,Asheville,Apartment,Entire home/apt,0,1.0,64.0,2016-07-24,t,2,1,100,96.0,t,flexible
26103338,Downtown Getaway + Modern Bungalow / SIDE SUITE,35.60355,-82.55703000000001,28801,Asheville,House,Private room,1,1.0,100.0,2013-06-27,t,2,1,98,96.0,t,strict_14_with_grace_period
26129371,"Private , Peaceful 1 Bedroom Apt.",35.650220000000004,-82.57153000000001,28804,Asheville,Guest suite,Entire home/apt,1,1.0,92.0,2016-09-13,t,1,2,60,100.0,f,moderate
